,precision,recall,f1-score,support
informasi_balai_mangrove,1.0,1.0,1.0,2.0
informasi_pantai,1.0,1.0,1.0,4.0
informasi_pantai_kura_kura,1.0,0.6666666666666666,0.8,3.0
informasi_pantai_penyisok,1.0,1.0,1.0,3.0
informasi_pantai_pink,0.5,1.0,0.6666666666666666,1.0
informasi_pantai_tanjung_ringgit,1.0,1.0,1.0,3.0
informasi_wisata,1.0,1.0,1.0,2.0
notfound,0.3333333333333333,1.0,0.5,1.0
sampai_jumpa,0.75,0.6,0.6666666666666666,5.0
selamat_datang,1.0,0.5,0.6666666666666666,2.0
accuracy,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
macro avg,0.8583333333333332,0.8766666666666666,0.8300000000000001,26.0
weighted avg,0.9070512820512822,0.8461538461538461,0.855128205128205,26.0
